x y mag_blue mag_red color
3424.749 4629.273 19.854 19.405 0.449
3728.148 4630.319 17.675 17.025 0.651
2543.874 4643.979 20.044 19.530 0.514
3942.710 4649.254 18.676 18.074 0.603
3384.729 4650.871 19.842 19.405 0.437
4369.733 4664.621 19.177 18.616 0.560
3307.410 4675.069 20.101 19.662 0.438
6501.783 4680.431 19.983 19.531 0.452
2117.170 4682.014 20.141 19.708 0.433
6299.505 4690.912 18.235 17.590 0.644
5704.026 4693.567 19.905 19.479 0.426
6105.444 4697.104 15.688 14.923 0.765
2269.968 4708.420 19.476 18.996 0.480
3903.188 4711.995 20.133 19.677 0.456
5450.964 4712.898 18.323 18.110 0.213
5637.731 4716.406 19.491 19.013 0.478
4399.582 4728.625 18.759 18.158 0.601
4393.841 4742.474 16.955 16.904 0.051
2693.495 4746.166 19.738 19.297 0.441
4107.885 4758.908 19.921 19.493 0.428
5883.933 4757.953 17.566 16.902 0.664
5704.168 4761.823 16.423 15.710 0.713
5653.824 4769.734 19.415 18.924 0.491
5265.048 4778.653 18.345 17.712 0.633
7597.444 4779.208 19.901 19.475 0.426
4903.468 4782.245 19.596 19.140 0.456
3698.405 4787.943 20.167 19.724 0.443
2931.045 4788.736 19.757 19.316 0.441
4121.672 4796.538 20.142 19.672 0.470
4719.035 4797.081 18.433 17.803 0.630
3835.215 4798.473 19.823 19.389 0.435
3799.539 4799.253 19.756 19.316 0.440
5514.031 4799.264 19.855 19.419 0.436
6583.302 4798.967 19.601 19.155 0.445
6740.172 4809.506 15.003 14.181 0.822
4218.799 4810.032 16.735 16.599 0.135
5541.828 4824.611 19.966 19.534 0.432
4705.490 4834.113 19.459 18.976 0.483
6926.643 4842.567 19.492 19.026 0.466
6794.916 4846.534 15.181 14.373 0.807
4895.236 4851.833 19.740 19.289 0.451
5843.101 4876.129 19.683 19.247 0.436
3774.911 4878.288 20.163 19.728 0.435
6427.315 4878.584 19.216 18.667 0.549
3988.927 4884.760 19.761 19.323 0.438
3042.379 4888.394 20.119 19.676 0.443
6690.339 4895.480 17.648 17.002 0.646
5063.872 4922.065 19.023 18.427 0.595
2307.974 4931.461 16.829 16.760 0.069
5626.107 4931.990 19.101 18.528 0.573
6505.384 4934.128 19.096 18.511 0.585
4329.692 4936.409 18.339 17.720 0.619
6267.843 4951.704 19.217 18.878 0.339
5184.237 4969.966 19.186 18.624 0.562
2736.845 4970.381 17.022 16.982 0.040
6450.559 4993.028 20.159 19.724 0.435
6164.753 5004.451 19.506 19.294 0.212
7669.971 5017.658 19.938 19.517 0.420
7109.605 5025.590 19.599 19.147 0.452
7775.316 5025.504 19.934 19.509 0.425
